iter	MAE
0	2.486449125
1	2.467559524
2	2.445347056
3	2.425628819
4	2.407189835
5	2.38781847
6	2.359377303
7	2.345240845
8	2.330562018
9	2.308603825
10	2.293938461
11	2.277334416
12	2.25761987
13	2.241432105
14	2.225353594
15	2.2015865
16	2.18085033
17	2.168322465
18	2.149599003
19	2.130987159
20	2.119789859
21	2.09997378
22	2.084337274
23	2.069457677
24	2.043742196
25	2.033786961
26	2.012304125
27	1.990478375
28	1.976278108
29	1.957427562
30	1.94498943
31	1.92684674
32	1.907800262
33	1.897802852
34	1.881246167
35	1.871696085
36	1.854258723
37	1.846735427
38	1.839709524
39	1.826191683
40	1.810069285
41	1.798358656
42	1.786052715
43	1.77072082
44	1.761135185
45	1.745965041
46	1.729599111
47	1.716948838
48	1.707372279
49	1.697803205
50	1.685530752
51	1.672845469
52	1.659988781
53	1.650076943
54	1.638752649
55	1.627490074
56	1.617996467
57	1.609662316
58	1.600257671
59	1.588301597
60	1.576875399
61	1.568728539
62	1.557737758
63	1.550281434
64	1.542977209
65	1.533085379
66	1.525697606
67	1.517822535
68	1.511247433
69	1.505083926
70	1.49644851
71	1.492014645
72	1.484219421
73	1.476523619
74	1.470577419
75	1.462955348
76	1.455554922
77	1.44863739
78	1.441890271
79	1.434288151
80	1.427295591
81	1.420886868
82	1.415074359
83	1.408296186
84	1.401546786
85	1.39555641
86	1.390477232
87	1.385153307
88	1.379555901
89	1.37452798
90	1.3687716
91	1.363661418
92	1.358814731
93	1.353774241
94	1.348932461
95	1.343640581
96	1.338402749
97	1.333425613
98	1.3285008
99	1.323395716
100	1.319266866
101	1.313736259
102	1.309508443
103	1.305359901
104	1.302350545
105	1.297969048
106	1.294251024
107	1.290142395
108	1.285561648
109	1.281498023
110	1.277649611
111	1.273698425
112	1.269190995
113	1.265317985
114	1.26146721
115	1.257527613
116	1.253455819
117	1.24978963
118	1.245934764
119	1.242243887
120	1.238819984
121	1.234967777
122	1.23083819
123	1.227572991
124	1.224056886
125	1.220864835
126	1.218074286
127	1.214120007
128	1.210817311
129	1.20706607
130	1.203926883
131	1.201049388
132	1.198151447
133	1.195254081
134	1.192292105
135	1.18878939
136	1.185943582
137	1.183233183
138	1.180099197
139	1.177485882
140	1.175076928
141	1.172137883
142	1.169848517
143	1.167104949
144	1.164729414
145	1.16162059
146	1.159342659
147	1.156788917
148	1.154595043
149	1.151958082
150	1.149566464
151	1.147078104
152	1.144264442
153	1.141230907
154	1.139223288
155	1.137352265
156	1.134849894
157	1.132241168
158	1.13022426
159	1.127806556
160	1.125510594
161	1.123432786
162	1.121483347
163	1.119438345
164	1.117721393
165	1.115778274
166	1.113580386
167	1.111651091
168	1.109727182
169	1.107920528
170	1.106092168
171	1.104130857
172	1.102302928
173	1.100208792
174	1.098320596
175	1.096592805
176	1.094558956
177	1.092445066
178	1.09081857
179	1.089080742
180	1.087100236
181	1.08542412
182	1.083410971
183	1.081942369
184	1.080463304
185	1.078581953
186	1.076770157
187	1.074973108
188	1.073561899
189	1.072183116
190	1.070445611
191	1.069238732
192	1.067708149
193	1.066375209
194	1.065098364
195	1.063878024
196	1.062184714
197	1.060797502
198	1.059341806
199	1.05788655
200	1.056182872
201	1.054892385
202	1.053537266
203	1.051998808
204	1.05098427
205	1.049449935
206	1.048077808
207	1.047037848
208	1.045843123
209	1.044957408
210	1.043999303
211	1.043022672
212	1.041694256
213	1.040334745
214	1.039166972
215	1.038127717
216	1.037121688
217	1.036062496
218	1.034977795
219	1.034092339
220	1.032897362
221	1.03205452
222	1.03109694
223	1.030258791
224	1.029199183
225	1.028362568
226	1.027592719
227	1.026321071
228	1.025402545
229	1.024295178
230	1.023355351
231	1.022569407
232	1.021531494
233	1.020583433
234	1.019336696
235	1.018354933
236	1.017745086
237	1.016875107
238	1.016126175
239	1.014946806
240	1.014134639
241	1.013341415
242	1.012120215
243	1.011397424
244	1.010526678
245	1.009684172
246	1.008766057
247	1.007854082
248	1.007095756
249	1.006359688
250	1.005220647
251	1.004532634
252	1.003965751
253	1.003120797
254	1.002332386
255	1.001747965
256	1.00075509
257	0.9999316964
