iter	Passed	Remaining
0	3	13061
1	8	14851
2	12	14192
3	16	14230
4	20	14148
5	24	14412
6	28	14168
7	31	13964
8	35	13938
9	39	13981
10	44	14304
11	48	14215
12	52	14180
13	56	14222
14	60	14124
15	64	14200
16	69	14257
17	74	14487
18	78	14383
19	82	14473
20	87	14485
21	91	14515
22	95	14468
23	99	14512
24	105	14691
25	110	14754
26	115	14844
27	119	14906
28	124	14949
29	129	14993
30	134	15055
31	139	15161
32	145	15343
33	150	15362
34	154	15350
35	158	15327
36	163	15334
37	167	15308
38	171	15297
39	175	15270
40	180	15242
41	184	15236
42	188	15168
43	191	15120
44	195	15090
45	200	15080
46	203	15019
47	207	14982
48	211	14944
49	215	14915
50	219	14898
51	223	14846
52	227	14815
53	230	14788
54	234	14761
55	238	14725
56	242	14712
57	246	14700
58	251	14718
59	255	14675
60	258	14637
61	262	14625
62	266	14603
63	270	14569
64	273	14526
65	278	14519
66	281	14498
67	285	14469
68	289	14421
69	293	14452
70	299	14499
71	302	14470
72	306	14435
73	310	14447
74	315	14458
75	319	14426
76	322	14396
77	327	14416
78	331	14391
79	335	14386
80	341	14483
81	346	14484
82	350	14494
83	355	14487
84	359	14474
85	362	14456
86	366	14436
87	370	14410
88	373	14379
89	377	14367
90	381	14360
91	385	14345
92	389	14323
93	393	14302
94	397	14283
95	400	14261
96	404	14231
97	408	14223
98	411	14195
99	415	14168
100	418	14143
101	422	14122
102	426	14106
103	430	14095
104	434	14084
105	437	14068
106	442	14066
107	446	14062
108	450	14052
109	454	14044
110	458	14036
111	462	14031
112	465	14014
113	469	13997
114	473	13993
115	478	14004
116	481	13986
117	485	13961
118	489	13961
119	493	13953
120	497	13940
121	500	13918
122	505	13921
123	509	13917
124	513	13910
125	516	13887
126	521	13891
127	525	13885
128	528	13866
129	532	13844
130	536	13834
131	539	13822
132	543	13801
133	546	13777
134	550	13766
135	555	13787
136	560	13804
137	564	13791
138	567	13773
139	571	13776
140	575	13759
141	578	13740
142	582	13722
143	587	13733
144	590	13719
145	594	13698
146	597	13682
147	601	13667
148	605	13662
149	608	13646
150	612	13630
151	616	13634
152	620	13633
153	624	13616
154	628	13604
155	631	13584
156	635	13575
157	639	13572
158	643	13562
159	646	13543
160	650	13533
161	654	13528
162	658	13523
163	661	13513
164	665	13499
165	669	13496
166	673	13490
167	677	13480
168	680	13463
169	684	13452
170	687	13441
171	691	13426
172	695	13414
173	698	13401
174	702	13395
175	706	13385
176	709	13372
177	713	13356
178	717	13355
179	721	13348
180	724	13339
181	728	13324
182	732	13319
183	736	13314
184	739	13302
185	742	13285
186	746	13271
187	751	13286
188	755	13279
189	758	13266
190	762	13253
191	766	13252
192	770	13256
193	774	13252
194	778	13239
195	782	13235
196	786	13228
197	789	13218
198	793	13212
199	797	13212
200	801	13206
201	805	13194
202	808	13180
203	812	13179
204	817	13184
205	821	13178
206	825	13176
207	829	13176
208	833	13179
209	837	13171
210	841	13169
211	845	13166
212	849	13164
213	854	13161
214	858	13163
215	862	13166
216	867	13170
217	871	13174
218	876	13174
219	880	13177
220	884	13177
221	889	13178
222	892	13167
223	896	13162
224	900	13157
225	904	13147
226	907	13135
227	911	13129
228	915	13121
229	918	13109
230	922	13098
231	925	13084
232	929	13080
233	933	13073
234	936	13065
235	940	13056
236	944	13048
237	948	13043
238	952	13039
239	955	13028
240	959	13021
241	963	13017
242	967	13012
243	971	13008
244	975	13009
245	980	13020
246	985	13020
247	989	13023
248	995	13040
249	999	13037
250	1003	13034
251	1007	13031
252	1012	13040
253	1017	13057
254	1022	13058
255	1026	13059
256	1030	13053
257	1035	13056
258	1040	13070
259	1046	13084
260	1050	13090
261	1055	13098
262	1060	13095
263	1064	13091
264	1067	13085
265	1071	13078
266	1076	13079
267	1079	13071
268	1083	13062
269	1087	13062
270	1092	13060
271	1095	13055
272	1099	13042
273	1103	13038
274	1107	13033
275	1111	13030
276	1115	13022
277	1118	13011
278	1122	13012
279	1126	13005
280	1129	12992
281	1133	12982
282	1137	12974
283	1141	12970
284	1145	12966
285	1148	12956
286	1152	12950
287	1156	12943
288	1159	12935
289	1163	12926
290	1166	12916
291	1171	12918
292	1175	12918
293	1179	12910
294	1182	12900
295	1188	12909
296	1192	12904
297	1196	12904
298	1200	12898
299	1204	12897
300	1208	12888
301	1211	12879
302	1215	12871
303	1220	12875
304	1223	12867
305	1227	12856
306	1230	12849
307	1235	12850
308	1239	12848
309	1242	12837
310	1246	12826
311	1250	12827
312	1254	12824
313	1258	12817
314	1261	12807
315	1266	12805
316	1270	12803
317	1274	12796
318	1277	12790
319	1281	12780
320	1285	12783
321	1289	12775
322	1293	12768
323	1296	12761
324	1301	12767
325	1305	12759
326	1309	12751
327	1312	12740
328	1316	12735
329	1320	12729
330	1323	12719
331	1327	12714
332	1331	12708
333	1335	12705
334	1338	12697
335	1342	12688
336	1345	12678
337	1350	12678
338	1353	12670
339	1357	12663
340	1360	12653
341	1364	12645
342	1368	12642
343	1371	12634
344	1375	12626
345	1378	12617
